Welcome to the Jack Daniel's Collector Blog,JackDanielsCollector,"<div class=""image-wrap""><img src=""/images/1/post-bg1.jpg"" alt=""Welcome to Collector of Jack""></div><p>I started out my journey with Jack Daniel's at a young age. My father would have a Jack and Coke, every night, after work. One and done, but as well as I can remember, it was, and still is, a nightly ritual. I might have snuck a taste as a kid, but I wasn’t a kid who drank in high school, it wasn’t until college until I really had my first drink.</p><p>I was in a fraternity at a small engineering school in Missouri, it was in a small town, with a very skewed guy to girl ratio, so even though joining a fraternity had never crossed my mind prior to college, it made sense to me and built me into who I am today. While you might think there is a lot of drinking in a fraternity in college, it isn’t required, and it was never forced upon me. So when I did sit down to have my first drink, it was to a great surprise to my fraternity brothers. There was a group of guys, I can still remember the room, that were partaking in a 1/5th of Old No. 7, I sat down one evening and asked for my own glass, they were floored.</p><p>I didn’t plan to start drinking Jack Daniel’s that evening, but I ended up doing so, and thus setting my journey into the world of Tennessee Whiskey. While I don’t have the first bottle of Jack Daniel’s I purchased, I do have a couple of bottles that I purchased during my college years. I wish I could go back in time and buy 2, at the time I didn’t buy to collect, so the bottles from back then are all empty, but they are still mine. I’ll be documenting those bottles in blog posts in the future here on this new blog.</p><p>Why CollectorOfJack.com? I’ve been collecting Jack Daniel’s bottles for many years now, and while I am proud of my collection, there are definitely some gaps that I would like to fill. I’ve managed to acquire some extras over the years, and I’m hopeful that with this blog I’ll be able to find other like minded folks, who perhaps have bottles to fill my gaps and possibly need some of the extras that I have in my collection.</p><p>This is the first post in what will hopefully be many future posts, stay tuned as I document and acquire additional items to the collection. For additional information about me, be sure to visit <a href=\""https://www.ChrisHammond.com\"" target=\""_blank\"">ChrisHammond.com</a></p><div class=""gallery"" data-columns=""2""><img src=""/images/1/CollectorOfJack-1.jpg""><img src=""/images/1/CollectorOfJack-2.jpg""></div>",2019-06-18T13:36:55,html
Gentleman Jack Limited Edition Time Piece Bottle,GentlemanJackTimePiece,"<div class=""image-wrap""><img src=""/images/2/Day1-4.jpg"" alt=""Gentleman Jack Time Piece Limited Edition""></div><p>One of the things I want to do here on this blog is document the various Jack Daniel’s collectables, primarily bottles, that I’ve managed to acquire over time. This is the first post in that series.</p><p>In 2017, Jack Daniel’s announced/released a new bottle in the Gentleman Jack product line, called The Limited Edition Gentleman Jack, often referred to as the Time Piece. The bottle markings on the packaging of the bottle are reminiscent of the pocket watch that Jack Daniel carried around.</p><p>I had trouble trying to locate the bottle here in St. Louis, checking all the local liquor stores, along with the big box Total Wine locations. In March of 2018 I was driving to Georgia for an autocross event with a buddy of mine, and stopped to buy a car in Murfreesboro Tennessee. While at the dealer, I asked my sales guy where I could find a decent liquor store, so that I could try to find the Time Piece. He sent me a few streets over, and I found a bottle of Tennessee Rye which I hadn’t seen before, but no Time Piece to be found. It was getting late in the day, and I was hoping to try to swing by the Distillery (my buddy who drove me to Murfreesboro had headed down there while I was doing paperwork on the car), but I wasn’t sure if I could make it down before the White Rabbit bottle shop closed.</p><p>I decided I would try another liquor store on the way over to Lynchburg. At this store I asked the guys behind the counter if they had a Time Piece bottle. One guy said yes he did, but it was in his private collection, and not for sale. I looked around the store, picked up something there (can’t recall which bottle) and then checked out. While checking out he mentioned that there was a place near Shelbyville, called Celebration Liquors that might have the bottle. It was on my way to Lynchburg, so I decided I was for sure stopping when I got there. Upon arrival I looked around the store, but couldn’t find the bottle. I asked the girl behind the counter if she knew anything about the bottle, but she didn’t know what it was. If I recall correctly, she did however offer to call the owner, and he told her the bottle was right behind her.</p><p>We both had missed it sitting there on a shelf behind the counter. Score! I was able to purchase one bottle of the Gentleman Jack Limited Edition bottle, seen above on this post. What this hunt made me realize though, was that I wasn’t the only one out there collecting Jack Daniel’s gear. I realized that people collected, and even collected extras, so that they could “trade” for other items to add to their collections.</p><p>A few short weeks ago, I stopped by Total Wine on my way home from work one day, something I occasionally do just to see if they have anything JD related in stock that I don’t have. This time, they did, they had Time Piece bottles, and multiple! I picked one up, and walked to the register, paying about 50% of what I paid for the bottle in Shelbyville. By the time I got home I started kicking myself for not buying a few, when I stopped by that Total Wine again they were completely out. I ended up checking another TW location the next weekend and picked up 3 more bottles so that I could start creating a stock of items that I could trade in the future!</p><p>If you’re looking for a Gentleman Jack Limited Edition Time Piece bottle, check out my <a href=\""http://collectorofjack.com/WantedItems\"">Hunt List</a> to see if you have something I need, maybe we can trade!</p><p><br></p><p><strong>Release</strong>: December 2017<br><strong>Proof</strong>: 100<br><strong>Size</strong>: 1L</p><div class=""gallery"" data-columns=""3""><img src=""/images/2/Day1-4.jpg""><img src=""/images/2/Day1-5.jpg""><img src=""/images/2/Day1-6.jpg""><img src=""/images/2/Day1-7.jpg""><img src=""/images/2/Day1-8.jpg""><img src=""/images/2/Day1-9.jpg""></div>",2019-06-18T14:58:04.8856113Z,html
Tennessee Tasters' High Angel's Share Barrels (2018),HighAngelsShare,"<div class=""image-wrap""><img src=""/images/3/AngelsShare-1.jpg"" alt=""Tennessee Taster's High Angel's Share""></div><p>In October 2018 Jack Daniel’s put out a press release announcing a new Tasters’ Series of bottles/releases. I won’t go into the full details of the press release, <a href=\""http://pressroom.jackdaniels.com/jack-daniels-launches-limited-edition-tennessee-tasters-selection/\"" target=\""_blank\"">you can read it here</a>, but I do want to document the releases as I acquire them!&nbsp; </p><p>Towards the end of the month they released the first two bottles in the series, High Angel’s Share Barrels and Smoked Hickory Finish. This post is about the High Angel’s Share Barrels release.</p><p>High Angel’s Share Barrels – whiskey barreled in January 2013 which offered an unusually low yield, presenting a unique and deep concentration of flavors with a dark color at 107-proof. Selected by Assistant Master Distiller and Master Taster Chris Fletcher. Available early-October.</p><p>These releases, are limited to around 24,000 bottles, and only available at the Distillery and in select stores in Tennessee. This had caused me to start looking at making a trip to Lynchburg to pick up some bottles for myself, but family events the past few weekends have prevented me from being able to make the 5-6 hour drive there (plus another 5-6 hours back).</p><p>This past Friday I found out that some fellow coworkers of mine were on their way to Nashville for a weekend getaway, so I reached out to them to ask them a huge favor, to do some hunting for me while they were there. I sent them a screen shot of the two new Tasters’ bottles, and asked them to see if they could find them while they were there.</p><p>Lucky for me they did! A big shout out to K&amp;K for picking them up for me. Here are the photos of the High Angel’s Share Barrel bottle.</p><p><br></p><p><strong>Release</strong>: October 2018<br><strong>Proof</strong>: 107<br><strong>Size</strong>: 375ml</p> <div class=""gallery"" data-columns=""3""><img src=""/images/3/AngelsShare-1.jpg""><img src=""/images/3/AngelsShare-2.jpg""><img src=""/images/3/AngelsShare-3.jpg""><img src=""/images/3/AngelsShare-4.jpg""><img src=""/images/3/AngelsShare-5.jpg""></div>",2019-06-18T15:07:41.1899158Z,html
Tennessee Tasters' Hickory Smoked (2018),HickorySmoked,"<div class=""image-wrap""><img src=""/images/4/HickorySmoked-1.jpg"" alt=""Tennessee Taster's Hickory Smoked""></div><p>In my previous blog post I talked about the Tennessee Tasters’ High Angel’s Share Barrels, in this post I cover the second release in the series, Hickory Smoked. The bottle is labelled as \""Tennessee Whiskey Finish with Charred Hickory Staves\"". </p><blockquote><p><strong>Smoked Hickory Finish</strong> – a fully matured whiskey finished with charred hickory staves for a smoky flavor at 100-proof, just in time for the 30<sup>th</sup> annual Jack Daniel’s World Championship Invitational BBQ which is held in Lynchburg on Oct. 27. Selected by Master Taster Marsha Hale and available late-October.</p><p align=\""left\"">- <a href=\""http://pressroom.jackdaniels.com/jack-daniels-launches-limited-edition-tennessee-tasters-selection/\"" target=\""_blank\"">Jack Daniel’s Press Release</a></p></blockquote><p>This selection was from <a href=\""https://www.linkedin.com/in/marsha-hale-82543b37/\"" target=\""_blank\"">master taster Marsha Hale</a>, whom according to her Linked In profile has worked at Jack Daniel’s for almost 31 years. </p><p>I have yet to decide if I will try these bottles myself. I do have two of each, with the original intention of keeping one and having the other for trading to fill my collection with missing items. If however I could come across some other bottles, I would likely try one out myself, only time will tell if that happens.</p><p><br></p><p><strong>Release</strong>: October 2018<br><strong>Proof</strong>: 100<br><strong>Size</strong>: 375ml</p><div class=""gallery"" data-columns=""3""><img src=""/images/4/HickorySmoked-1.jpg""><img src=""/images/4/HickorySmoked-2.jpg""><img src=""/images/4/HickorySmoked-3.jpg""><img src=""/images/4/HickorySmoked-4.jpg""><img src=""/images/4/HickorySmoked-5.jpg""></div>",2019-06-18T15:11:50.7105915Z,html
Jack Daniel’s Single Barrel Heritage Barrel (2018),HeritageBarrel,"<div class=""image-wrap""><img src=""/images/5/HeritageBarrel-1.jpg"" alt=""Jack Daniel's Heritage Barrel 2018""></div><p>In late September 2018 Jack Daniel’s announced a new Special Release Tennessee Whiskey, Single Barrel Heritage Barrel.&nbsp; </p><blockquote><p>This release celebrates the early craftsmanship of the Jack Daniel Distillery. The whiskey is from uniquely crafted heavy-toast barrels and 100 proof barrel entry proof. <p>The \""Heritage Barrel\"" expression of Jack Daniel's Single Barrel was crafted with a low temperature, heavy toasted barrel which created a light but rich char full of deep flavor. A lower 100 proof entry proof allows our grain bill to assert itself creating a special Tennessee whiskey with notes of light baking spices, vanilla, and toasted oak with a long, lingering finish, aged to perfection at the top of one of the highest elevated barrelhouses, 1-09, on Coy Hill. What emerges is a flavorful and rich Tennessee Whiskey. </p></blockquote><blockquote><p align=\""right\""><a href=\""https://www.jackdaniels.com/en-us/whiskey/limited/single-barrel-heritage-barrel\"" target=\""_blank\"">JackDaniels.com</a></p></blockquote><p>The included cardboard wrapped on the neck of the bottle, reads:</p><blockquote><p>Master Distiller Jeff Arnett and his team of whiskey makers created a truly unique whiskey for this special release of Jack Daniel’s Single Barrel.</p><p>The “Heritage Barrel” expression of Jack Daniel’s Single Barrel was crafted with a low temperature, heavy toasted barrel which creates a light but rich char full of deep flavor. A lower 100 entry proof allows our grain bill to assert itself creating a special Tennessee Whiskey with notes of light baking spices, vanilla, and toasted oak with long, lingering finish.</p><p>Aged to perfection at the top of one of the highest elevated barrelhouses, 1-09, on Coy Hill. What emerges is a flavorful and rich Tennessee Whiskey that we think you’ll appreciate.</p><p>Tasting Notes</p><p>Aroma – Rich vanilla and sweet baking spices on the nose.</p><p>Taste – Warm notes of vanilla and caramel give way to dark fruit and spice.</p><p>Finish – Lingering finish of rich oak spice with a subtle grain sweetness.</p><p><br></p></blockquote><p>I’ve looked at the local haunts here in the St. Louis area to try to locate the Heritage Barrel, but I’ve yet to find anyone who has it. Lucas Liquors tells me (<a href=\""https://twitter.com/christoc/status/1063843217655951360\"" target=\""_blank\"">via twitter</a>) that they might be available here before Christmas. The gentleman at 141 Liquors tells me that his distributor says they won’t see any before May. Based on this info so far, I doubt they’ll make it to Missouri at all considering the release is limited to 200 total barrels. </p><p>I was fortunate enough to only stumble upon it online after doing some searching one weekend. I found it on a website called SipWhiskey.com, and while their communication/customer service left some things to be desired, and their packing of the bottle made me seriously question if it would still be intact when I opened the box, I was pleasantly surprised that I received bottle in perfect shape. Unfortunately their website says they are out of stock now, but perhaps they will get it back in stock again soon. </p><p>Good luck hunting!</p><p><br></p><p><strong>Release</strong>: Fall 2018<br><strong>Proof</strong>: 100<br><strong>Size</strong>: 750ml</p><div class=""gallery"" data-columns=""3""><img src=""/images/5/HeritageBarrel-1.jpg""><img src=""/images/5/HeritageBarrel-2.jpg""><img src=""/images/5/HeritageBarrel-3.jpg""><img src=""/images/5/HeritageBarrel-4.jpg""><img src=""/images/5/HeritageBarrel-5.jpg""></div>",2019-06-18T15:18:24.4110466Z,html
Jack Daniel’s Legacy Edition Series–First Edition,LegacyEditionSeries-FirstEdition,"<div class=""image-wrap""><img src=""/images/6/LegacyEditionSeriesFirstEdition-1.jpg"" alt=""Jack Daniel’s Legacy Edition Series–First Edition""></div><p>The Jack Daniel’s Legacy Edition Series is a new line of bottles, with the First Edition, being released in fall 2018. The bottle sells for about the same price as your average 1/5th (750ml) of Old No. 7, and can be found in markets all over the United States (from our own experience we have found it in Nebraska and Missouri so far).</p><p>This First Edition bottle commemorates the colorful history of the Jack Daniel’s label, often associated with the tried and true Black and White label. This green and gold trimmed label was used some time before 1904, and has a nice red background behind the Old No. 7 emblem. The Jack Daniel’s inside is bottled at 86 proof.</p><p>It’ll be interesting to see what additional bottles are released under the Legacy Edition Series bottles.</p><p><strong>Release</strong>: Summer 2018<br><strong>Proof</strong>: 86<br><strong>Size</strong>: 750ml</p><div class=""gallery"" data-columns=""3""><img src=""/images/6/LegacyEditionSeriesFirstEdition-1.jpg""><img src=""/images/6/LegacyEditionSeriesFirstEdition-2.jpg""><img src=""/images/6/LegacyEditionSeriesFirstEdition-3.jpg""><img src=""/images/6/LegacyEditionSeriesFirstEdition-4.jpg""><img src=""/images/6/LegacyEditionSeriesFirstEdition-5.jpg""></div>",2019-06-18T15:20:11.360666Z,html
Jack Daniel’s Holiday Select 2011,HolidaySelect2011,"<div class=""image-wrap""><img src=""/images/7/HolidaySelect2011-1.jpg"" alt=""Tennessee Taster's Hickory Smoked""></div><p>In 2011 Jack Daniel’s released the first (of 4) in their series of Holiday Select bottles of Jack Daniel’s. The limited edition bottles were essentially Jack Daniel’s single barrel bottles, but this collection consisted of whiskey from the barrels used in the Holiday Barrel Tree built near Lynchburg Tennessee’s town square. I was fortunate enough to collect all 4 in the series, 2011, 2012, 2013 and 2014. Stay tuned for posts about each of them as we get into this 2018 holiday season.</p><p>The 2011 bottle came in a matte black box, with a clam shell opening on the top.&nbsp; The front of the box reads “<a href=\""https://www.jackdaniels.com/en-us/whiskey/limited/2011-holiday-select\"" target=\""_blank\"">Jack Daniel’s Holiday Select 2011 Limited Edition</a>”. The back of the box reads:</p><blockquote><p>THIS JACK DANIEL’S LIMITED EDITION WHISKEY IS FROM THE BARRELS WE USED TO CRAFT IN OUR 2011 HOLIDAY BARREL TREE NEAR THE TOWN SQURE IN LYNCHBURG, TENNESSEE. THE WHISKEY HAS BEEN SELECTED FOR ITS PERFECT BALANCE OF OAK AND VANILLA CHARACTER BRINGING A SPECIAL QUALITY TO YOUR HOLIDAY SEASON. WE HOPE YOU’LL FIND ADDED WARMTH IN THE KNOWLEDGE THAT A PORTION OF THE PROCEEDS FROM THIS BOTTLE WILL BE USED TO HLP U.S. SERVICE MEN AND WOMEN TRAVEL HOME DURING THE HOLIDAYS.</p></blockquote><p>Inside the box. you’ll find a bottle labeled “Limited 2011 Edition”, “Jack Daniel’s Holiday Select Tennessee Whiskey”. On the back of the bottle you’ll find:</p><blockquote><p>THIS JACK DANIEL’S LIMITED EDITION IS FROM BARRELS WE USED TO CRAFT OUR HOLIDAY BARREL TREE NEAR THE TOWN SQUARE IN LYNCHBURG, TENNESSEE. THE WHISKEY HAS BEEN SELECTED FOR ITS PERFECT BALANCE OF OAK AND VANILLA CHARACTER BRINING A SPECIAL QUALITY TO YOUR HOLIDAY SEASON.</p></blockquote><p>The 2011 bottle is 50% Alcohol, or 100 Proof. You can find it online for sale from a couple of retailers, lowest price I’ve found is $199 as of December 3, 2018.</p><p><strong>Release</strong>: December 2011<br><strong>Proof</strong>: 100<br><strong>Size</strong>: 750ml</p><div class=""gallery"" data-columns=""3""><img src=""/images/7/HolidaySelect2011-1.jpg""><img src=""/images/7/HolidaySelect2011-2.jpg""><img src=""/images/7/HolidaySelect2011-3.jpg""><img src=""/images/7/HolidaySelect2011-4.jpg""><img src=""/images/7/HolidaySelect2011-5.jpg""><img src=""/images/7/HolidaySelect2011-6.jpg""><img src=""/images/7/HolidaySelect2011-7.jpg""><img src=""/images/7/HolidaySelect2011-8.jpg""><img src=""/images/7/HolidaySelect2011-9.jpg""></div>",2019-06-18T15:22:33.9413322Z,html
Jack Daniel's Holiday Select 2012,HolidaySelect2012,"<div class=""image-wrap""><img src=""/images/8/HolidaySelect2012-1.jpg"" alt=""Tennessee Taster's Hickory Smoked""></div><p>In our <a href=\""https://collectorofjack.com/HolidaySelect2011\"" target=\""_blank\"">last blog post we covered the first in the Holiday Select series</a>, in this one, we cover the second, the Holiday Select 2012 Limited Edition bottle from Jack Daniel’s. </p><p>The bottle comes in a black box, but unlike 2011 this box isn’t a clamshell opening. The bottle and an insert slide out the top of the box. The back of the box reads:</p><blockquote><p>THIS JACK DANIEL’S LIMITED EDITION IS FROM BARRELS WE USED TO CRAFT OUR HOLIDAY BARREL TREE. FOR 2012, OUR MASTER DISTILLER, JEFF ARNETT, HAS SELECTED BARRELS WITH A LIGHT OAK CHARACTER, ALLOWING THE SOFTWARE NOTES OF VANILLA AND CARAMEL TO SHINE THROUGH. WE HOPE IT BRINGS A SPECIAL QUALITY TO YOUR HOLIDAY SEASON.</p></blockquote><p>The shape of the bottle is the same as the 2011 bottle, but the labelling has some gold instead of all white. The holly berry leaves are also in green, instead of the white as in 2011. Also differing from the 2011 bottle, the text on the back of the bottle now matches the text on the back of the box. </p><p>The 2012 bottle is 45.2% Alcohol, or 90.4 Proof, down from 100 the year before. Finding this one online appears a little more difficult, I found one on ebay listed at $165 as of December 5, 2018. </p><p><br></p><p><strong>Release</strong>: December 2012<br><strong>Proof</strong>: 90.4<br><strong>Size</strong>: 750ml</p><div class=""gallery"" data-columns=""3""><img src=""/images/8/HolidaySelect2012-1.jpg""><img src=""/images/8/HolidaySelect2012-2.jpg""><img src=""/images/8/HolidaySelect2012-3.jpg""><img src=""/images/8/HolidaySelect2012-4.jpg""><img src=""/images/8/HolidaySelect2012-5.jpg""><img src=""/images/8/HolidaySelect2012-6.jpg""><img src=""/images/8/HolidaySelect2012-7.jpg""><img src=""/images/8/HolidaySelect2012-8.jpg""><img src=""/images/8/HolidaySelect2012-9.jpg""></div>",2019-06-18T15:28:40.6666977Z,html
Jack Daniel’s Holiday Select 2013,HolidaySelect2013,"<div class=""image-wrap""><img src=""/images/9/HolidaySelect2013-1.jpg"" alt=""Tennessee Taster's Hickory Smoked""></div><p>In our <a href=\""https://collectorofjack.com/HolidaySelect2012\"" target=\""_blank\"">last blog post we covered the second in the Holiday Select series</a>, in this one, we cover the third, the Holiday Select 2013 Limited Edition bottle from Jack Daniel’s. </p><p>The bottle comes in a black box, like 2012, this box isn’t a clamshell opening. The bottle and an insert slide out the top of the box. The back of the box reads:</p><blockquote><p>THIS JACK DANIEL’S LIMITED EDITION IS FROM BARRELS WE USED TO CRAFT OUR HOLIDAY BARREL TREE. FOR 2013, OUR MASTER DISTILLER, JEFF ARNETT, HAS SELECTED WHISKEY WITH THE RICK CHARACTER OF TOASTED OAK AND SPICE NOTESDRAWN FROM OUR HANDCRAFTED BARRELS. WE HOPE IT BRINGS A SPECIAL QUALITY FOR YOUR HOLIDAY SEASON.</p></blockquote><p>The shape of the bottle is the same as the 2011 and 2012 bottle. Like the 2012 bottle, labelling has some gold instead of all white. The holly berry leaves are also in green, instead of the white as in 2011. Also differing from the 2011 bottle, the text on the back of the bottle now matches the text on the back of the box. </p><p>The 2013 bottle is 49% Alcohol, or 98 Proof, up from 90.4 the year before. Finding this one online appears a little more difficult, I found one on ebay listed at $179 as of December 8, 2018. </p><p><br></p><p><strong>Release</strong>: December 2013<br><strong>Proof</strong>: 98<br><strong>Size</strong>: 750ml</p><div class=""gallery"" data-columns=""3""><img src=""/images/9/HolidaySelect2013-1.jpg""><img src=""/images/9/HolidaySelect2013-2.jpg""><img src=""/images/9/HolidaySelect2013-3.jpg""><img src=""/images/9/HolidaySelect2013-4.jpg""><img src=""/images/9/HolidaySelect2013-5.jpg""><img src=""/images/9/HolidaySelect2013-6.jpg""><img src=""/images/9/HolidaySelect2013-7.jpg""><img src=""/images/9/HolidaySelect2013-8.jpg""><img src=""/images/9/HolidaySelect2013-9.jpg""></div>",2019-06-18T15:56:40.0194002Z,html
Jack Daniel's Holiday Select 2014,HolidaySelect2014,"<div class=""image-wrap""><img src=""/images/9/HolidaySelect2013-1.jpg"" alt=""Tennessee Taster's Hickory Smoked""></div><p>In our <a href=\""https://collectorofjack.com/HolidaySelect2013\"" target=\""_blank\"">last blog post we covered the third in the Holiday Select series</a>, in this one, we cover the fourth and final (as of 2018) release, the Holiday Select 2014 Limited Edition bottle from Jack Daniel’s. </p><p>This bottle, unlike all the other Holiday Select bottles comes in a box that has the face cut out to showcase the bottle. If you open the box, the back slides out and the bottle can be freed from the holder inside. The Sides of the box read Limited Edition 2014, while the back of the box (and the bottle) reads:</p><blockquote><p>The 2014 bottling marks the first time I have chosen our Holiday Select barrels to be bottled individually. This year I wanted to showcase the depth and richness that a single barrel can offer and selected the most robust and complex whiskey I sampled. Each barrel is truly unique and we hope the bottle you’ve selected helps make your holiday special. – Jeff Arnette, Master Distiller</p></blockquote><p>The shape of the bottle is a bit different than the earlier Holiday Select bottles as the Jack Daniel’s signature is towards the top, instead off on the right side as with the earlier bottles. The labelling on the bottle is a mixture of white and gold, and reads Limited Edition 2014 Jack Daniel’s Single Barrel Holiday Select Small Batch. The holly berry from earlier releases is missing.</p><p>In the photos below you’ll see two different bottles, one still boxed up, and one that I drank. For the 2014 Holiday Select release, I took my Family to Lynchburg, TN for the Jack Daniel’s barrel tree lighting and bottle signing event. I purchased a case of the 2014 Holiday Select bottles, and had those signed by Jeff Arnett and Chris Fletcher (Assistant Distiller). I gave most of the bottles away as gifts to friends and family, but kept three bottles for myself, one of which I chose to drink. That would be the empty bottle in the photos below.</p><p>The 2014 bottle is 48% Alcohol, or 96 Proof, down from 98 the year before. You can find it online at a few retailers, best price/stock I found was $199 as of December 10, 2018. </p><p><br></p><p><strong>Release</strong>: December 2014<br><strong>Proof</strong>: 96<br><strong>Size</strong>: 750ml</p><div class=""gallery"" data-columns=""3""><img src=""/images/9/HolidaySelect2013-1.jpg""><img src=""/images/9/HolidaySelect2013-2.jpg""><img src=""/images/9/HolidaySelect2013-3.jpg""><img src=""/images/9/HolidaySelect2013-4.jpg""><img src=""/images/9/HolidaySelect2013-5.jpg""><img src=""/images/9/HolidaySelect2013-6.jpg""><img src=""/images/9/HolidaySelect2013-7.jpg""><img src=""/images/9/HolidaySelect2013-8.jpg""></div>",2019-06-18T17:01:39.3495906Z,html
